RECORD NUMBER,TWEET,SENTIMENT,SENTIMENT RATING(-1 to +1)
77,"@shahidkapoor bro, one of your your best character till date. Splendidly played a Rajpoot @deepikapadukone I wish I… https://t.co/cjAsH7tzkk",Positive,0.9166666666666667
78,RT @PplOfIndia: On what ground should RG be given a front row seat? He doesn't even qualify as LoP with just 44 seats. Let him watch #Padma…,Neutral,0.0
79,#Padmavati must carry the insecurities of patriarchal and casteist fringe outfits and call it her 'honour'.… https://t.co/nYvvmP27L5,Neutral,0.0
80,"RT @itweetbazz: Sanjay Leela Bhansali is a smart chap...
He has invited Karni Sena for a special screeing of the movie, so that when Karni…",Positive,0.2857142857142857
81,"RT @Joydas: In Light of Padmavaat Protests, Tweet Series on how Ashok Chavan had tackled Shiv Sena during My Name is Khan. In 2010, SRK had…",Positive,0.4
82,"RT @itweetbazz: @Paytm &amp; @bookmyshow have collaborated with @googlemaps, and now while booking tickets of #Padmavaat through them, Google M…",Neutral,0.0
84,"RT @Joydas: In Light of Padmavaat Protests, Tweet Series on how Ashok Chavan had tackled Shiv Sena during My Name is Khan. In 2010, SRK had…",Positive,0.4
85,#FakeNewsAlert: No Muslim Men Have Been Arrested by Police for Attacking School Bus in Gurugram… https://t.co/auXc1GwgkL,Neutral,0.0
86,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
87,@stephsteph048 #Khilji ie. Balram Garg of #reallife use2 place stolen inverted #bikemirror near #Padmavaat friends… https://t.co/SSKpb1OlXS,Positive,0.1
88,RT @_int_ruder_: Ishant Sharma was brilliant in Padmavaat. https://t.co/hrevLoFLnz,Positive,0.9
90,"Padmaavat row: CBFC chief  Prasoon Joshi to skip Jaipur Literary Festival after threats by Karni Sena
@BJP4India… https://t.co/RCNGw87Bz6",Positive,0.1
91,"RT @ZAbbasOfficial: Pakistan embracing #padmaavat. Don’t understand what the fuss was all about,#Padmavaat actually celebrates the pride of…",Neutral,0.0
92,"Watching #Padmavaat ...
#KarniSena dam hai ta rook kar dekya....",Neutral,0.0
94,RT @poojadholakia24: EVERY SINGLE #Rajput should be so proud of #Padmavaat there was not one scene which showed disgrace! #SanjayLeelaBhans…,Positive,0.4642857142857143
95,"RT @TrueIndology: Does the film #Padmavaat show Khilji destroying temples, abducting and castrating slaves, spitting into mouths of Hindus,…",Negative,-0.2
96,Masterpiece  #Padmavaat .... everything is AWSM  @deepikapadukone eyes speak alot .especially jahur sence just blew… https://t.co/nd80cDUbZc,Neutral,0.0
97,"RT @VishalChoradiya: On the unending Padmavaat embarrassment, @bdutt calls out the cowardice and lack of solidarity largely characteristic…",Positive,0.21428571428571427
98,"RT @VishakhaJ18: Watching #Padmavaat , the movie is all about rajput pride, makes you proud of the way our rajput kings ruled. @shahidkapoo…",Positive,0.8
99,"RT @BDUTT: M.F Husain, Salman Rushdie, @taslimanasreen James Laine-  #Padmavaat just joins an endlessly long list in India where no party i…",Negative,-0.05
100,RT @BDUTT: How many of her colleagues stood with @deepikapadukone - and vocally- when she most needed it? My @htTweets column argues that #…,Positive,0.5
